Name	Set	ImageFile	Side	Type	Subtype	Cost	Speed	Power	Health	Rarity	Number	Usage	Text	
Moroff (A)	RO	RO159_Moroff_A	L	Character	Gigoran Partisan Rebel Bounty Hunter	5	30	4	4	C	159		Bounty: Gain 1 build point. | Moroff gets +1 power and Focus 1 when attacking an Imperial. | Discard a card from your hand -> Moroff gets +20 speed and Avenge 2 until end of turn.	
No Horizon	RO	RO160_No_Horizon	D	Battle						C	160		Tap one of your Battle Stations -> Choose one: Discard up to 2 cards at random from your opponent's hand. Or: Search your opponent's deck for up to 2 Location cards and remove them from the game. Your opponent shuffles his or her deck.	
Nower Jebel (A)	RO	RO161_Nower_Jebel_A	L	Character	Uyter Rebel Diplomat	3	30	1	2	C	161		Reserves: Tap -> This turn, whenever one of your non-Suboridinate Rebels is discarded from any arena, you may remove it from the game. If you do, draw a card.	
Occupied Jedha	RO	RO162_Occupied_Jedha	D	Location	Space/Ground/Character - Imperial Jedha	1				C	162		When you complete this Location, your opponent loses 1 Force. | Each of your opponent's units in this arena loses Stealth.	
Orson's Shuttle (A)	RO	RO163_Orson_s_Shuttle_A	D	Space	Imperial Transport	5	40	3	3	C	163		Tap -> Director Orson Krennic gets the Ground card type until end of next turn. Play only during your build step. | Discard a card from your hand -> Search your deck for a Director Orson Krennic unit card, show it to your opponent, and put it into your hand. Shuffle your deck. Play only during your build step.	
Ponda Baba (B)	RO	RO164_Ponda_Baba_B	N	Character	Aqualish Pirate	5	20	6	4	C	164		As long as Doctor Evazan is in any arena, Ponda gets Resilience 1. (As long as Ponda has at least 1 damage counter on him, he gets +1 power.) | INSERT: Tap -> Ambush 4	
Rebel Commandos	RO	RO165_Rebel_Commandos	L	Ground	Rebel Soldier Squad	6	40	5	4	C	165		Hidden Cost 4 | Stealth | When this unit is discarded from the Ground arena, remove it from the game. | Pay 1 Force -> Ambush 2	
Red Squadron (C)	RO	RO166_Red_Squadron_C	L	Space	Rebel Squadron	6	70	5	5	C	166		Red Squadron gets Fury 2 when attacking an Imperial. | Pay 0 Force -> Intercept | Pay 2 Force -> Protect 1	
Ring of Kafrene	RO	RO167_Ring_of_Kafrene	N	Location	Space - Imperial Kafrene Settlement	3				C	167		When your build step starts, if you have a Spy in any arena, you may remove a card from your discard pile from the game. If you do, search your opponent's deck for any card and discard it. Your opponent shuffles his or her deck	
Rogue One Strike Team (C)	RO	RO168_Rogue_One_Strike_Team_C	L	Ground	Rogue One Rebel Soldier Squad	5	60	4	4	C	168		Pay 2 Force -> Rogue One Strike Team gets Critical Hit 2 for this attack. | Pay 2 build points, discard a Rogue One unit card from your hand -> Take 1 30/3/3 Rogue One Detachment Subordinate with "Pay 1 Force -> Protect 1" and put it into the Ground arena. Play only during your build step.	
Shipjacking	RO	RO169_Shipjacking	N	Mission - Trap		4				C	169		To complete Shipjacking, you must also tap one of your units in the Character arena. When the Space battle step starts, if your opponent has 1 or more Transports in the Space arena, choose one of them. Gain control of the chosen Transport unit until the battle phase ends.	
Strategic Analysis	RO	RO170_Strategic_Analysis	N	Equipment	Space/Ground/Character - Skill	2				C	170		Pay 1 build point -> Equip | Equipped unit gets +10 speed. | Equipped Droid also gets +1 power and Focus 2.	
Strength	RO	RO171_Strength	N	Equipment	Space/Ground/Character - Trait	2				C	171		When the battle phase step starts in an arena where you have only 1 unit and your opponent has 2 or more units, attach this Trait to that unit of yours. | Equipped unit gets +X power, where X is the number of units your opponent has in the same arena.	
Then and There	RO	RO172_Then_and_There	N	Mission - Trap		2				C	172		When one of your Assassins attacks, if you have an Officer in the Character arena, that Assassin gets +2 power and Critical Hit 2 for that attack.	
TIE Fighter Squadron	RO	RO173_TIE_Fighter_Squadron	D	Space/Ground	Imperial Squadron	4	50	3	3	C	173		Alternative Cost: Pay 2 build points, tap one of your unique Imperial Characters. | Precision	
TIE Pilot	RO	RO174_TIE_Pilot	D	Character	Imperial Officer	2	20	2	2	C	174		Squadron and Starfighter Pilot. The Squadron or Starfighter gets: - +20 speed   - Resilience 1 (As long as this unit has at least 1 damage counter on it, it gets +1 power.) 	
Tivik (A)	RO	RO175_Tivik_A	L	Character	Partisan Rebel Spy	3	20	2	3	C	175		When you deploy Tivik, put 1 damage counter on him. | Discard Tivik from the Character arena -> Search your opponent's deck for a Space unit card and discard it. Your opponent shuffles his or her deck. Play only when no unit is attacking.	
Trust Goes Both Ways	RO	RO176_Trust_Goes_Both_Ways	N	Mission		0				C	176		To complete Trust Goes Both Ways, each player must have at least 1 card in his or her deck. Each player searches his or her deck for a card, puts it into his or her hand, and shuffles his or her deck.	
Two Tubes Team (A)	RO	RO177_Two_Tubes_Team_A	L	Ground/Character	Tognath Partisan Rebel Squad	6	50	4	5	C	177		Treat "Two Tubes" Team as a Bounty Hunter. | Switch: Critical Hit 1/Fury 1 | Transport Pilot. The Transport gets:  -Focus 1   -Pay 1 Force-> Retaliate 2	
Vanee (A)	RO	RO178_Vanee_A	D	Character	Imperial Attendant	3	30	1	3	C	178		Tap -> Search your deck for an Officer unit card, show it to your opponent, and put it into your hand. Shuffle your deck. Play only during your build step. | Pay 1 Force -> Protect 1	
Wobani Labor Camp	RO	RO179_Wobani_Labor_Camp	D	Location	Ground - Imperial Wobani Prison	3				C	179		When your build step starts, you may discard a card from your hand. If you do, tap one of your opponent's Characters with 1 or more captivity counters on it.	
Wobani System	RO	RO180_Wobani_System	D	Location	Space - Imperial Wobani Star System	2				C	180		When your build step starts, you may choose one: Put 1 captivity counter on one of your opponent's Characters. Or: Gain 1 build point. Play only if your opponent has a Character with 2 or more captivity counters on it.	
AT-ACT (Promo)	RO	ROpromo_AT_ACT	D	Ground	Imperial Walker	7	40	4	5	R	P		Armor | Double Strike | Tap -> Gain 1 build point. Play only if you have an Imperial Officer in any arena and only during your build step.	
Chirrut Imwe (A) (Promo)	RO	ROpromo_Chirrut_Imwe_A	L	Character	Rogue One Rebel - Jedha Guardian	6	50	5	5	R	P		Treat Chirrut as a Force Sensitive Warrior. | Upkeep: Pay 2 Force or tap Chirrut. | Forewarning: Gain 2 Force. | Whenever Chirrut would be damaged, if your Force total is 10 or more, prevent all but 1 of that damage.	
Darth Vader (A2) (Promo)	RO	ROpromo_Darth_Vader_A2	D	Ground/Character	Imperial Dark Jedi Knight - Sith Lord	10	50	6	6	R	P		Armor | Overkill | As long as Vader has an Equipment attached, he gets "Pay 2 Force -> Deflect 2." | Pay 2 Force -> Evade 2	
Devastator's Arrival (Promo)	RO	ROpromo_Devastator_s_Arrival	D	Mission - Trap		1				R	P		As long as Darth Vader is in any arena, Devastator's Arrival can't be disrupted. | When you deploy a Capital Ship to the Space arena, choose one: Tap that Capital Ship, and it attacks one of your opponent's units in the Space arena. Or:  Put 1 damage counter on each of your opponent's units in the Space arena.	
Director Orson Krennic (A) (Promo)	RO	ROpromo_Director_Orson_Krennic_A	D	Character	Imperial Officer	7	40	5	5	R	P		Each of your Stormtroopers costs 1 less build counter to deploy. | Pay 1 build point, discard a card from your hand -> Choose an arena. Your opponent can't deploy units using Hidden Cost to the chosen arena and can't play Battle cards during the chosen arena's battle step until end of turn. Play only during your build step.	
Jyn Erso (A) (Promo)	RO	ROpromo_Jyn_Erso_A	L	Character	Rogue One Rebel Soldier	8	50	5	5	R	P		Each of your other Rogue One Characters gets Focus 1 and Avenge 3. | As long as you have another Rogue One unit in the Character arena, Jyn gets Inspiration.	
K-2SO (A) (Promo)	RO	ROpromo_K_2SO_A	L	Character	Rogue One Rebel Droid	6	40	5	5	R	P		Alternative Cost: Pay 2 build points, pay 2 Force, tap one of your unique Rogue One units. | Armor | Resilience 2 (As long as K-2SO has at least 2 damage counters on him, he gets +2 power.) | Pay 0 Force -> Intercept	
Lightmaker (A) (Promo)	RO	ROpromo_Lightmaker_A	L	Space	Rebel Capital Ship	8	20	6	6	R	P		Armor | Tap -> Tap one of your opponent's damaged Space units and put 2 damage counters on it. Play only if you have a Rebel Officer in any arena and only when no unit is attacking.	
Resilience (Promo)	RO	ROpromo_Resilience	N	Equipment	Space/Ground/Character - Trait	1				R	P		When one of your opponent's units does 3 or more damage (after damage prevention) to one of your units without Resilience, attach this Trait to that unit of yours. | Equipped unit gets Resilience 3 (As long as this unit has at least 3 damage counters on it, it gets +3 power.)	
Ultimate Sacrifice (Promo)	RO	ROpromo_Ultimate_Sacrifice	L	Battle						R	P		Ultimate Sacrifice can't be disrupted. | Discard X of your unique Rogue One units from any arena -> Add X counters to your Resource, gain X Force, and each of your units gets +X power until end of turn. Play only when no unit is attacking.	
Death Trooper	RO	ROsub_Death_Trooper	D	Subordinate	Ground/Character - Imperial Stormtrooper Bodyguard		30	4	3	S				
Imperial Mixed Fighter Group	RO	ROsub_Imperial_Mixed_Fighter_Group	D	Subordinate	Space - Imperial Squadron		50	3	2	S			When the battle phase ends, return this unit to your supply.	
Partisan Ambusher	RO	ROsub_Partisan_Ambusher	L	Subordinate	Character - Sabat Partisan Rebel Soldier		40	3	3	S			Pay 0 Force -> Ambush 1	
Partisan Rebel	RO	ROsub_Partisan_Rebel	L	Subordinate	Character - Partisan Rebel Soldier		60	2	2	S			Foresight: Put 1 captivity counter on the defending unit.	
Partisan Squad	RO	ROsub_Partisan_Squad	L	Subordinate	Ground - Partisan Rebel Squad		50	4	2	S				
Rebel Attack Squadron	RO	ROsub_Rebel_Attack_Squadron	L	Subordinate	Space - Rebel Squadron		60	3	2	S			Precision	
Rebel Control Crew	RO	ROsub_Rebel_Control_Crew	L	Subordinate	Ground - Mon Calamari Rebel Squad		20	2	2	S			Capital Ship Pilot. The Capital Ship gets:  - Shields 1	
Rebel Infiltrator	RO	ROsub_Rebel_Infiltrator	L	Subordinate	Character - Rebel Soldier		40	2	2	S			Stealth	
Rebel Mixed Fighter Group	RO	ROsub_Rebel_Mixed_Fighter_Group	L	Subordinate	Space - Rebel Squadron		50	3	2	S			When the battle phase ends, return this unit to your supply	
Rebel Striker	RO	ROsub_Rebel_Striker	L	Subordinate	Character - Rogue One Rebel Soldier		50	2	2	S			Double Strike	
Rogue One Detachment	RO	ROsub_Rogue_One_Detachment	L	Subordinate	Ground - Rogue One Rebel Soldier Squad		30	3	3	S			Pay 1 Force -> Protect 1	
Scarif Guard Squad	RO	ROsub_Scarif_Guard_Squad	D	Subordinate	Ground - Imperial Stormtrooper Squad		50	3	3	S			Focus 1	
Shoretrooper Squad	RO	ROsub_Shoretrooper_Squad	D	Subordinate	Ground - Imperial Tropical Stormtrooper Squad		40	3	3	S			Armor	
Stormtrooper Cell Guard	RO	ROsub_Stormtrooper_Cell_Guard	D	Subordinate	Character - Imperial Stormtrooper		50	2	1	S			Whenever this unit damages a unit (after damage prevention), put 1 captivity counter on that unit.	
TIE Defense Swarm	RO	ROsub_TIE_Defense_Swarm	D	Subordinate	Space - Imperial Squadron		60	3	3	S			Pay 0 Force -> Intercept	
Battle of Starkiller Base	BOSB	BOSB001_Battle_of_Starkiller_Base	N	Event						R	1		Battle Station and Fortification deployments can't be disrupted. | Each unit gets Critical Hit 1 when attacking a Battle Station or Fortification. | Each Battle Station and Fortification gets Damage Control 1. | Each unit in the same arena as a Battle Station or Fortification gets "Put 1 damage counter on this unit -> Protect 1."	
Blow It Up	BOSB	BOSB002_Blow_It_Up	L	Battle						R	2		Pay 8 Force -> One of your units gets +2 power and Critical Hit X for this attack, where X is the number of units you have in any arena.	
Blue Three (B)	BOSB	BOSB003_Blue_Three_B	L	Space/Ground	Resistance Fighter	6	60	3	3	R	3		Switch: Accuracy 1/Double Damage | When you deploy Blue Three, you may search your deck for a Jessika Pava unit card. If you do, show it to your opponent and put it into your build zone with 1 build counter on it. Shuffle your deck.	
Bow to the First Order!	BOSB	BOSB004_Bow_to_the_First_Order	D	Mission		X				R	4		Choose an arena. X of your First Order units in the chosen arena each gets +2 power until end of turn. | Enhance: Pay 2 Force -> Also, one of your unique First Order units in the chosen arena gets Inspiration until end of turn. Play only if you have more units in the chosen arena than your opponent does.	
Chewbacca (V)	BOSB	BOSB005_Chewbacca_V	L	Character	Wookiee Resistance Smuggler	8	30	6	7	R	5		Ferocity (Damage from Chewbacca can't be prevented.) | Avenge X, where X is Chewbacca's total power.	
Duel on Starkiller Base	BOSB	BOSB006_Duel_on_Starkiller_Base	N	Battle						R	6		Tap one of your units with a Lightsaber Weapon attached in the Character arena -> Tap one of your opponent's units in the Character arena. Each of those units gets "Pay 1 Force -> Do 2 dice of damage to one of your opponent's tapped units in the Character arena. If this unit has a Weapon attached, it does 4 dice of damage instead. Play only when no unit is attacking." until end of turn.	
General Armitage Hux (C)	BOSB	BOSB007_General_Armitage_Hux_C	D	Character	First Order Officer	6	30	4	5	R	7		Inspiration | Each of your First Order Stormtroopers gets "Pay 0 Force -> Retaliate 1."	
General Leia Organa Solo (W)	BOSB	BOSB008_General_Leia_Organa_Solo_W	L	Character	Force Sensitive Resistance Officer 	7	30	3	5	R	8		Forewarning: Gain 1 Force. | Parry 1 | When your build step starts, if you have a Location in the Ground or Character arena, gain 1 build point, and you may draw a card.	
Han Solo (W)	BOSB	BOSB009_Han_Solo_W	L	Character	Resistance Smuggler	7	40	5	6	R	9		Ferocity (Damage from Chewbacca can't be prevented.) | Stealth | Tap -> One of your opponent's units loses Shields, and each of your units gets +2 power when attacking the chosen unit until end of turn.	
Hosnian Cataclysm	BOSB	BOSB010_Hosnian_Cataclysm	D	Event						R	10		Whenever a unit's Force-activated ability is used, each player may discard a card at random from his or her opponent's hand.	
I Need Some Help Here!	BOSB	BOSB011_I_Need_Some_Help_Here	L	Mission - Trap		1				R	11		When the Space Battle Step starts, if your opponent has more units in the Ground arena than you do, remove X counters from your Resource and put a Starfighter unit card with printed build cost X from your hand into its arena untapped.	
